abaca, a, b, a, c, a
abaco, a, b, a, c, o
abano, a, b, a, n, o
abate, a, b, a, t, e
abati, a, b, a, t, i
abbai, a, b, b, a, i
abbia, a, b, b, i, a
abbui, a, b, b, u, i
abete, a, b, e, t, e
abeti, a, b, e, t, i
abile, a, b, i, l, e
abili, a, b, i, l, i
abita, a, b, i, t, a
abiti, a, b, i, t, i
abito, a, b, i, t, o
aboli, a, b, o, l, i
abusa, a, b, u, s, a
abusi, a, b, u, s, i
abuso, a, b, u, s, o
acaia, a, c, a, i, a
acari, a, c, a, r, i
acaro, a, c, a, r, o
accia, a, c, c, i, a
aceri, a, c, e, r, i
acero, a, c, e, r, o
acesa, a, c, e, s, a
acese, a, c, e, s, e
acesi, a, c, e, s, i
aceso, a, c, e, s, o
aceti, a, c, e, t, i
aceto, a, c, e, t, o
achea, a, c, h, e, a
achee, a, c, h, e, e
achei, a, c, h, e, i
acheo, a, c, h, e, o
acida, a, c, i, d, a
acide, a, c, i, d, e
acidi, a, c, i, d, i
acido, a, c, i, d, o
acini, a, c, i, n, i
acino, a, c, i, n, o
acori, a, c, o, r, i
acoro, a, c, o, r, o
acqua, a, c, q, u, a
acque, a, c, q, u, e
acqui, a, c, q, u, i
acume, a, c, u, m, e
acumi, a, c, u, m, i
acuta, a, c, u, t, a
acute, a, c, u, t, e
acuti, a, c, u, t, i
acuto, a, c, u, t, o
adagi, a, d, a, g, i
adamo, a, d, a, m, o
addii, a, d, d, i, i
addio, a, d, d, i, o
adipe, a, d, i, p, e
adipi, a, d, i, p, i
adira, a, d, i, r, a
adire, a, d, i, r, e
adiri, a, d, i, r, i
adiro, a, d, i, r, o
aditi, a, d, i, t, i
adito, a, d, i, t, o
adone, a, d, o, n, e
adoni, a, d, o, n, i
adora, a, d, o, r, a
adori, a, d, o, r, i
adoro, a, d, o, r, o
adoxa, a, d, o, x, a
adula, a, d, u, l, a
aduli, a, d, u, l, i
adulo, a, d, u, l, o
aduna, a, d, u, n, a
aduni, a, d, u, n, i
aduno, a, d, u, n, o
adusa, a, d, u, s, a
aduse, a, d, u, s, e
adusi, a, d, u, s, i
aduso, a, d, u, s, o
aequo, a, e, q, u, o
aerea, a, e, r, e, a
aeree, a, e, r, e, e
aerei, a, e, r, e, i
aereo, a, e, r, e, o
afeli, a, f, e, l, i
afide, a, f, i, d, e
afidi, a, f, i, d, i
afnio, a, f, n, i, o
afona, a, f, o, n, a
afone, a, f, o, n, e
afoni, a, f, o, n, i
afono, a, f, o, n, o
afosa, a, f, o, s, a
afose, a, f, o, s, e
afosi, a, f, o, s, i
afoso, a, f, o, s, o
after, a, f, t, e, r
agape, a, g, a, p, e
agapi, a, g, a, p, i
agata, a, g, a, t, a
agate, a, g, a, t, e
agave, a, g, a, v, e
agavi, a, g, a, v, i
aggio, a, g, g, i, o
agile, a, g, i, l, e
agili, a, g, i, l, i
agire, a, g, i, r, e
agita, a, g, i, t, a
agiti, a, g, i, t, i
agito, a, g, i, t, o
aglio, a, g, l, i, o
agnus, a, g, n, u, s
agone, a, g, o, n, e
agoni, a, g, o, n, i
agora, a, g, o, r, a
agore, a, g, o, r, e
aguti, a, g, u, t, i
ahime, a, h, i, m, e
aiola, a, i, o, l, a
aiole, a, i, o, l, e
aiuta, a, i, u, t, a
aiuti, a, i, u, t, i
aiuto, a, i, u, t, o
alala, a, l, a, l, a
alani, a, l, a, n, i
alano, a, l, a, n, o
alare, a, l, a, r, e
alari, a, l, a, r, i
alata, a, l, a, t, a
alate, a, l, a, t, e
alati, a, l, a, t, i
alato, a, l, a, t, o
album, a, l, b, u, m
alche, a, l, c, h, e
alcol, a, l, c, o, l
alcun, a, l, c, u, n
alghe, a, l, g, h, e
alias, a, l, i, a, s
alibi, a, l, i, b, i
alice, a, l, i, c, e
alici, a, l, i, c, i
alida, a, l, i, d, a
alide, a, l, i, d, e
alidi, a, l, i, d, i
alido, a, l, i, d, o
alite, a, l, i, t, e
aliti, a, l, i, t, i
alito, a, l, i, t, o
almea, a, l, m, e, a
almee, a, l, m, e, e
alone, a, l, o, n, e
aloni, a, l, o, n, i
alosa, a, l, o, s, a
alose, a, l, o, s, e
altea, a, l, t, e, a
altee, a, l, t, e, e
alter, a, l, t, e, r
altra, a, l, t, r, a
altre, a, l, t, r, e
altri, a, l, t, r, i
altro, a, l, t, r, o
alvei, a, l, v, e, i
alveo, a, l, v, e, o
alzai, a, l, z, a, i
alzar, a, l, z, a, r
amaca, a, m, a, c, a
amano, a, m, a, n, o
amara, a, m, a, r, a
amare, a, m, a, r, e
amari, a, m, a, r, i
amaro, a, m, a, r, o
amaru, a, m, a, r, u
amata, a, m, a, t, a
amate, a, m, a, t, e
